,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,input,cat
714,68.2256694,103.70515,125.4822,173.218906,211.946796,,,,0.002816467900990313,-2.536219542219557,-0.44545095672057466,-0.14229523516511777,-0.1361933646796267,SSP1,Lower CI,Indonesia,Non-Staples,IndonesiaNon-Staples
715,68.2256694,103.70515,125.4822,173.218906,211.946796,,,,0.07172276540599398,-0.03580820098200377,-0.0583425491760039,-0.0641281419299986,-0.06263329571400789,SSP1,Median,Indonesia,Non-Staples,IndonesiaNon-Staples
716,68.2256694,103.70515,125.4822,173.218906,211.946796,,,,0.20334058621277584,0.9119644011099038,0.05244362571142683,0.10178877950892157,0.08644134615543783,SSP1,Upper CI,Indonesia,Non-Staples,IndonesiaNon-Staples
735,259.380984,314.993192,339.336528,368.704198,373.09301600000003,,,,0.6668917694170563,-1.6567358494218467,-1.0126303518336728,0.06239342931587788,0.5339849542572748,SSP1,Lower CI,Indonesia,Staples,IndonesiaStaples
736,259.380984,314.993192,339.336528,368.704198,373.09301600000003,,,,0.723595103544401,0.7049283429601978,0.6253390702324033,0.5899282920369942,0.5595783841089954,SSP1,Median,Indonesia,Staples,IndonesiaStaples
737,259.380984,314.993192,339.336528,368.704198,373.09301600000003,,,,0.7858360751063241,1.479063051279727,1.147291000367063,0.7748439624483292,0.6420374046965112,SSP1,Upper CI,Indonesia,Staples,IndonesiaStaples
756,100.3277952,109.0713992,112.02938520000001,115.6982308,123.371932,,,,-0.4925568990822843,-0.6964134843288126,-0.381116828770566,-0.3419511492613586,-0.3241008312614938,SSP1,Lower CI,Japan,Non-Staples,JapanNon-Staples
757,100.3277952,109.0713992,112.02938520000001,115.6982308,123.371932,,,,-0.4071345398647992,-0.34166899300440434,-0.31789015818780797,-0.29858525342839926,-0.27704886018119623,SSP1,Median,Japan,Non-Staples,JapanNon-Staples
758,100.3277952,109.0713992,112.02938520000001,115.6982308,123.371932,,,,-0.2410894830921353,-0.0840662316865523,-0.24653634536385277,-0.21174368478412772,-0.20765674889756514,SSP1,Upper CI,Japan,Non-Staples,JapanNon-Staples
777,129.12925,118.2195,110.97684000000001,110.22348,109.11622,,,,2.978897622962122,2.0832166044630083,2.3986888686388066,2.5119271558246945,2.468486615194502,SSP1,Lower CI,Japan,Staples,JapanStaples
778,129.12925,118.2195,110.97684000000001,110.22348,109.11622,,,,3.0386560139400025,2.7175644147,2.5740779543200016,2.5283845886200034,2.48099632916,SSP1,Median,Japan,Staples,JapanStaples
779,129.12925,118.2195,110.97684000000001,110.22348,109.11622,,,,3.050190342024547,3.0592057936522887,2.6655591791383375,2.5504915357943556,2.497939048746453,SSP1,Upper CI,Japan,Staples,JapanStaples
798,66.754134,102.134898,125.4997484,143.0285328,155.0941674,,,,-0.10926881766315119,-0.24762090196232153,-0.13703061111061232,-0.12152250261301398,-0.12523051323702983,SSP1,Lower CI,Mexico,Non-Staples,MexicoNon-Staples
799,66.754134,102.134898,125.4997484,143.0285328,155.0941674,,,,-0.10035633266319621,-0.12934128106520149,-0.10531539002079882,-0.10295340944800557,-0.10253275998180555,SSP1,Median,Mexico,Non-Staples,MexicoNon-Staples
800,66.754134,102.134898,125.4997484,143.0285328,155.0941674,,,,-0.02756279400151146,-0.031615811955067435,-0.07856379692462366,-0.06809612296360601,-0.07440686760224768,SSP1,Upper CI,Mexico,Non-Staples,MexicoNon-Staples
